대분류,중분류,소분류,사업명,키워드 태그,지원 대상,지원 내용,신청 방법,문의처,출처 URL
민간지원,종사자지원,대체인력,사회복지시설 종사자 대체인력 지원사업,#대체인력 #사회복지사휴가 #직원휴가 #복지시설직원 #복지종사자휴가 #사회복지사 #요양보호사교육 #시설직원교육 #인력공백 #휴가인력 #육아휴직대체 #병가대체 #산전산후휴가 #교육대체 #종사자지원 #복지시설운영 #인력지원,「사회복지사업법」 제2조에 따른 도내 사회복지시설(어린이집·노인장기요양기관·국지방비 미지원 시설 제외). 직원의 연차·교육·경조사·병가·출산 시 이용 가능.,"대체 인력 파견(1~14일 이내, 원칙 주간 7일 이내). 평일 09:00~18:00 근무. 이용자 케어·프로그램보조·급식지원·사무행정 등 현장 업무 지원.",경상남도사회서비스원 민간지원협력부에 사전 등록 후 신청.,민간지원협력부 055-230-8270,https://gn.pass.or.kr/sub01/sub04_01.php
민간지원,기관지원,컨설팅,품질관리 종합 컨설팅사업,#복지시설운영 #복지기관컨설팅 #사회복지법인 #시설운영어려움 #노무상담 #회계상담 #법무상담 #재무컨설팅 #취업규칙 #근로계약 #복무관리 #재무회계 #품질관리 #경영컨설팅 #법인운영 #컨설팅 #종사자지원 #시설지원 #준법지도 #운영점검,"경상남도 내 18개 시·군 사회복지시설 및 사회서비스 제공기관, 사회복지법인 종사자",집합컨설팅(노무·경영·재무회계·법률) 및 역량강화 교육(재무회계·법정의무교육·힐링·노무 등). 노무: 근로계약·취업규칙·복무관리(주52시간제). 재무회계: 예산·결산·세무신고. 법률: 민형사분쟁·행정처분·준법지도. 경영: 업무프로세스·리더십,경상남도 → 18개 시·군 지자체 수요조사 참여 또는 유관기관·협회 홍보를 통해 신청. 055-230-8270으로 문의,민간지원협력부 055-230-8270,https://gn.pass.or.kr/sub01/sub08_02.php
민간지원,기관지원,안전점검,사회복지시설 안전점검 지원사업,#시설안전점검 #복지시설안전 #소방안전 #전기안전 #가스점검 #복지기관안전 #시설안전진단 #화재예방 #안전관리 #안전점검무료 #시설운영 #복지시설점검 #재난대비 #안전컨설팅 #시설안전비용,경상남도 내 18개 시·군 사회서비스 제공기관(소규모 복지시설 우선).,화재·전기·가스·자연재난 등 보건복지부 시설 안전점검 항목 전문가 진단. 건축·전기·소방 분야 전문가로 구성된 점검단 파견. 개선 권고안 제공.,경상남도사회서비스원 민간지원협력부에 신청.,민간지원협력부 055-230-8270,https://gn.pass.or.kr/sub01/sub06_01.php
민간지원,기관지원,품질관리,장기요양기관 평가지원 및 컨설팅,#장기요양기관평가 #요양기관평가 #노인요양기관 #장기요양평가 #요양원평가 #평가준비 #요양기관운영 #장기요양컨설팅 #평가컨설팅 #요양기관지원 #장기요양등급 #평가대비 #요양시설운영,경상남도 내 민간 장기요양기관(요양원·재가기관 등).,장기요양기관 평가 지표 교육 및 운영 컨설팅 제공. 서비스 품질 상향 평준화 지원. 경영평가 우수 사례 공유.,경상남도사회서비스원 민간지원협력부에 신청.,민간지원협력부 055-230-8270,https://gn.pass.or.kr/sub01/sub05_02.php
국공립시설,어린이집,영유아보육,경상남도청 어린이집,#어린이집 #국공립어린이집 #맞벌이보육 #영유아보육 #아이보육 #어린이집입소 #보육료 #영유아 #아이키우기 #경남도청어린이집 #공무원어린이집 #직장어린이집 #보육시설,"영유아(만 0~5세). 도청 직원 자녀 우선, 지역 주민도 이용 가능.",표준보육과정 운영. 연령별 오감놀이·생태체험·메이커아트 등 특화 프로그램. 장애아 통합보육. 부모교육 및 가족 참여 프로그램.,어린이집 입소 신청은 복지로(www.bokjiro.go.kr) 또는 직접 문의.,경상남도청 어린이집 055-210-9500,https://gn.pass.or.kr/sub03/sub01_01.php
국공립시설,장애인지원,보조기기,경상남도 보조기기센터,#보조기기 #휠체어 #보행보조기 #장애인보조기기 #보조기기렌탈 #보조기기대여 #보조기기수리 #장애인보행 #전동휠체어 #보청기 #의지보조기 #장애인용품 #재활보조기구 #보조기기무료,장애인 및 65세 이상 노인. 보조기기 지원이 필요한 누구나 (소득 무관 상담 가능).,"보조기기 상담·평가·시험적용·대여(기본 6개월, 대여료 무료)·수리·맞춤 제작(3D프린팅 포함) 서비스. 이동·일상생활·의사소통·감각 등 10개 카테고리. 도내 18개 시군 수리 네트워크 운영.",전화 또는 방문 상담. 전문가(물리치료사·작업치료사) 평가 후 서비스 결정.,경상남도 보조기기센터 055-715-9199,https://www.gnatc.or.kr/
국공립시설,장애인지원,피해보호,경상남도 피해장애인쉼터,#피해장애인 #장애인학대 #학대피해 #장애인폭력 #장애인보호 #피해장애인쉼터 #장애인인권 #안전한곳 #장애인피해 #학대신고 #장애인쉼터 #폭력피해장애인 #긴급피난처 #장애인보호시설,학대·폭력 피해를 입은 장애인(지적장애·신체장애 등 전체).,"일시보호(안전한 주거 제공), 심리치료(게슈탈트 상담·미술치료·음악치료·놀이치료), 의료 서비스 지원, 사회복귀 자립 지원(생활기술훈련), 지역사회 연계 모니터링.","장애인권익옹호기관(1644-8295) 또는 경찰 신고 후 연계. 직접 연락도 가능(소재 비공개, 전화 먼저).",경상남도 피해장애인쉼터 055-230-8580,https://gn.pass.or.kr/sub04/sub03_01.php
국공립시설,장애인지원,종합복지,경상남도장애인종합복지관,#장애인복지관 #장애인상담 #장애인직업훈련 #장애인취업 #발달장애인 #장애인자립 #장애인일자리 #재활훈련 #장애인재활 #장애인교육 #장애인체육 #장애인문화 #보조기기 #장애인서비스종합 #055-237-2223,경상남도 거주 장애인(지체·시각·청각·지적·자폐 등 전체).,"장애인 상담·사례관리, 기능강화 프로그램, 직업훈련(행정실무·사무기기 활용), 발달장애인 인턴제(3개월 실습 취업), 장애인식개선 강사 양성, 지역사회 연계 서비스. 2024년 공공서비스 제공 14,700명 목표.",복지관 방문 또는 전화 상담 후 등록.,경상남도장애인종합복지관 055-230-8460,https://gn.pass.or.kr/sub03/sub02_01.php
연구·정책,정책연구,사회서비스연구,사회서비스 정책연구 및 데이터 분석,#정책연구 #사회서비스연구 #데이터분석 #복지통계 #수요조사 #실태조사 #복지정책 #서비스품질 #만족도조사 #사회서비스원연구 #경남복지연구 #정책개발 #사회서비스현황 #복지데이터,"지방자치단체, 사회복지기관, 복지 정책 관계자, 사회서비스 연구자, 관련 학계.","경상남도 사회서비스 수요·공급 실태 조사 및 분석, 복지 정책 연구 보고서 발간, 사회서비스 이용자 만족도 조사, 서비스 품질 평가 및 개선 방안 연구, 복지 통계 데이터 수집·관리·공개.",경상남도사회서비스원 대표전화로 문의.,경상남도사회서비스원 055-230-8200,https://gn.pass.or.kr/
공공돌봄,안전·긴급,분류없음,1인가구 안전안심 라이프링 긴급구조 알림,#1인가구안전 #혼자사는사람 #고독사예방 #고독사 #독거 #중장년1인가구 #라이프링 #IoT돌봄 #스마트안전 #긴급구조 #응급알림 #전등센서 #음성인식 #살려줘 #자동신고 #비대면안전 #생활패턴감지 #위기감지 #긴급문자,"고독사 위험 1인 가구(노인·장애인·중장년) 100가구 (경상남도 거주, 선착순)","IoT 전등 센서·음성인식·블루투스 앱을 활용한 응급상황 조기 감지 및 자동 신고. 전등 ON/OFF 생활패턴 기록, 비정상 패턴 자동 알림, ""살려줘"" 발화 시 응급 문자 자동 전송. 비인터넷 환경에서도 작동. 2025.9.1.~2026.12.31.",경상남도사회서비스원(055-230-8200)으로 문의. 한국남동발전 사회공헌사업으로 100가구 한정 무료 제공.,경상남도사회서비스원 공공돌봄지원부 055-230-8200,https://gn.pass.or.kr/sub02/sub07_01.php
민간지원,기관역량강화,분류없음,맞춤형 통합지원,#맞춤형지원 #집합컨설팅 #역량강화 #종사자교육 #노무교육 #재무회계교육 #법정의무교육 #힐링교육 #사회서비스기관 #복지시설종사자 #권역별교육 #거점교육 #시설별맞춤교육 #복지종사자지원 #기관지원 #경남사회서비스,경상남도 내 18개 시·군 사회서비스 제공기관 및 종사자,거점별(권역별·지역별·시설별) 집합컨설팅(노무·경영·재무회계·법률)과 역량강화 교육(재무회계·힐링·노무·법정의무교육). 연간 일정에 따라 진행. 무료.,시·군 지자체 수요조사 참여 또는 유관기관·협회 홍보를 통해 신청. 055-230-8270으로 문의.,경상남도사회서비스원 민간지원협력부 055-230-8270,https://gn.pass.or.kr/sub01/sub08_01.php
지자체/통합돌봄,통합돌봄 신청·연계,분류없음,통합돌봄 신청·연계 안내,#통합돌봄 #돌봄통합지원법 #복합지원 #노인돌봄 #장애인돌봄 #맞춤형돌봄 #개인별지원계획 #의료요양돌봄 #지역사회돌봄,"노쇠·장애·질병·사고 등으로 일상생활 수행에 어려움을 겪는 사람으로 복합적인 의료·요양·돌봄 지원이 필요한 노인 및 장애인. 65세 이상 노인, 고령 장애인, 65세 미만 의료필요도가 높은 심한 장애인(지체, 뇌병변 등) 우선 지원.","시·군·구가 대상자의 의료적 지원 필요도와 일상생활 요양·돌봄 필요도를 종합 조사한 후, 통합지원회의를 통해 개인별 지원계획을 수립하고 필요한 서비스를 통합·연계하여 제공. 살던 곳에서 계속 건강한 생활을 영위할 수 있도록 의료·요양·돌봄·주거 등 복합 서비스를 한 번에 연결.",가까운 읍면동 주민센터(행정복지센터) 방문 또는 국민건강보험공단 지사 방문 신청. 본인 또는 가족이 신청 가능. 시·군·구청장이 직권으로 신청하는 것도 가능. 신청 후 담당자가 필요도 조사를 실시하고 개인별 지원계획 수립.,가까운 읍면동 주민센터(행정복지센터) 또는 국민건강보험공단 지사,https://www.mohw.go.kr/integratedcare/
지자체/통합돌봄,보건의료,분류없음,재택 보건의료 서비스,#재택의료 #방문진료 #방문간호 #재활서비스 #호스피스 #방문복약 #방문구강 #가정간호 #통합돌봄,가정이나 사회복지시설에서 진료·간호·재활 서비스가 필요한 노인 및 장애인. 거동이 불편하거나 의료기관 방문이 어려운 경우 우선 지원.,"가정과 사회복지시설 등에서 진료·간호서비스, 재활서비스, 요양병원 연계, 호스피스 서비스, 방문 구강관리, 방문 복약지도 등 보건의료 서비스를 집에서 받을 수 있도록 연계. 의료기관 방문 없이도 필요한 의료 서비스를 지역사회에서 제공.",가까운 읍면동 주민센터(행정복지센터) 방문 신청. 통합돌봄 신청 시 보건의료 필요도 조사를 통해 해당 서비스 연계. 보건소 방문 또는 전화 상담도 가능.,가까운 읍면동 주민센터(행정복지센터) 또는 관할 보건소,https://www.mohw.go.kr/integratedcare/
지자체/통합돌봄,일상생활돌봄,분류없음,일상생활 돌봄 지원,#가사지원 #이동지원 #주거지원 #보조기기 #주야간보호 #일상돌봄 #독거노인 #장애인 #통합돌봄 #생활지원,"일상생활에 어려움이 있어 가사·이동·주거 지원이 필요한 노인 및 장애인. 혼자 사는 어르신, 독거 장애인, 가족의 돌봄이 어려운 경우 우선 지원.","가사지원(청소·세탁·식사 준비), 의료기관 등 이동지원, 보조기기 지원, 주야간보호, AI·IoT 안전·건강 확인, 주거지원, 퇴원자 복귀지원, 맞춤형 급여 안내 등 8가지 일상생활 돌봄 서비스를 개인 필요도에 맞게 연계하여 제공.",가까운 읍면동 주민센터(행정복지센터) 방문 신청. 통합돌봄 신청 후 일상생활 필요도 조사를 통해 맞춤형 서비스 연계. 전화 상담 후 방문 신청도 가능.,가까운 읍면동 주민센터(행정복지센터),https://www.mohw.go.kr/integratedcare/
지자체/통합돌봄,퇴원복귀지원,분류없음,퇴원 복귀 지원,#퇴원 #퇴원후돌봄 #재가복귀 #병원퇴원 #복귀지원 #요양병원 #재활 #통합돌봄 #퇴원환자,병원이나 요양병원에서 퇴원 후 가정 복귀 시 돌봄·의료·주거 지원이 필요한 노인 및 장애인. 퇴원 후 혼자 생활하기 어렵거나 가족 돌봄이 부족한 경우.,"퇴원 후 가정에서 안정적으로 생활할 수 있도록 의료·요양·돌봄 서비스를 연계. 퇴원 전 사전 계획 수립, 재가서비스 연결, 주거 환경 개선 지원, 방문 간호·요양 서비스 연계, 지속적인 모니터링 실시.",입원 중인 병원 사회복지사 또는 퇴원 후 가까운 읍면동 주민센터(행정복지센터)에 신청. 국민건강보험공단 지사를 통한 신청도 가능.,가까운 읍면동 주민센터(행정복지센터) 또는 국민건강보험공단 지사,https://www.mohw.go.kr/integratedcare/
지자체/통합돌봄,스마트돌봄,분류없음,AI·IoT 안전확인 서비스,#AI돌봄 #IoT #안전확인 #독거노인 #스마트돌봄 #응급감지 #생활감지 #안부확인 #고독사예방 #통합돌봄,혼자 사는 노인 및 장애인으로 일상적인 안전 확인이 필요한 분. 거동이 불편하거나 응급상황 대처가 어려운 독거 어르신·장애인.,"AI 스피커·IoT 센서 등 스마트 기기를 활용하여 일상적인 활동을 감지하고 이상 징후 발생 시 신속히 대응. 움직임 감지, 응급 호출, 정기 안부 확인, 생활 패턴 모니터링 등을 통해 고독사 예방 및 응급상황 조기 발견.",가까운 읍면동 주민센터(행정복지센터) 방문 또는 전화 신청. 통합돌봄 신청 시 안전확인 서비스 필요도 조사를 통해 연계.,가까운 읍면동 주민센터(행정복지센터),https://www.mohw.go.kr/integratedcare/
지자체/통합돌봄,장기요양,분류없음,장기요양 서비스 연계,#장기요양 #방문요양 #방문간호 #방문목욕 #주야간보호 #요양등급 #노인장기요양 #재가요양 #통합돌봄,노인장기요양보험 등급 판정을 받았거나 등급 신청이 필요한 노인 및 장애인. 방문요양·방문간호·주야간보호 등 재가요양 서비스가 필요한 분.,"방문요양(가정방문 신체활동·가사지원), 방문간호(간호·재활 서비스), 방문목욕, 주야간보호(낮 시간 보호), 단기보호 등 장기요양 서비스를 통합돌봄 체계 안에서 연계·확대 제공. 기존 장기요양 서비스 이용한도 확대 및 서비스 품질 향상.",국민건강보험공단 지사 방문 또는 전화(1577-1000)로 장기요양 등급 신청. 이미 등급을 받은 경우 읍면동 주민센터에서 통합돌봄 연계 신청 가능.,국민건강보험공단 지사 (전화: 1577-1000) 또는 가까운 읍면동 주민센터,https://www.mohw.go.kr/integratedcare/
지자체/통합돌봄,장애인돌봄,분류없음,장애인 통합돌봄 지원,#장애인돌봄 #활동지원 #장애인주치의 #지역자활 #중증장애인 #장애인통합돌봄 #자립지원 #통합돌봄,"활동지원·의료·돌봄 복합지원이 필요한 중증장애인. 65세 미만 의료필요도가 높은 심한 장애인(지체, 뇌병변 등)과 고령 장애인.","활동지원서비스(일상생활·사회활동 지원), 장애인 주치의 연계(건강관리·방문진료), 지역자활센터 연계(자립 지원), 보조기기 지원, 주거환경 개선 등 장애인 특성을 고려한 통합돌봄 서비스를 개인별 지원계획에 따라 연계·제공.",가까운 읍면동 주민센터(행정복지센터) 방문 신청. 통합돌봄 신청 후 장애인 특성에 맞는 필요도 조사를 거쳐 서비스 연계. 국민건강보험공단 지사에서도 신청 가능.,가까운 읍면동 주민센터(행정복지센터) 또는 국민건강보험공단 지사,https://www.mohw.go.kr/integratedcare/
지자체/통합돌봄,전문교육,분류없음,통합돌봄 전문교육 (경남사회서비스원),#통합돌봄교육 #돌봄활동가교육 #공무원교육 #사회서비스원 #통합돌봄지원센터 #전문교육 #돌봄인력 #경남,통합돌봄 업무를 담당하는 경남 지역 공무원 및 돌봄 활동가. 통합돌봄 서비스 제공기관 종사자 및 관련 업무 담당자.,"돌봄통합지원법 시행에 따른 통합돌봄 관련 전문교육 제공. 공무원 대상 제도·정책 교육, 돌봄 활동가 대상 실무·역량 교육, 서비스 연계 및 개인별 지원계획 수립 교육 등을 경남사회서비스원 통합돌봄지원센터 사업을 통해 운영.",경남사회서비스원 통합돌봄지원센터로 전화 또는 공문 접수. 교육 일정 및 대상은 사전 공지를 통해 안내.,경남사회서비스원 통합돌봄지원센터 (전화: 055-230-8282),https://gn.pass.or.kr
